[Step4] SAVE_ROOT=/scratch-shared/tc1proj005/folds FOLDS=[0, 1, 2, 3, 4] MODELS=['llama'] SAVE_LASTTOK=False TOPK=0
[Step4] Loaded data/fold_data/fold_0_train.csv rows=203656 cols=17
[Step4] Loaded data/fold_data/fold_0_val.csv rows=11496 cols=9
[Step4] Loading llama fold 0 from LoRA /scratch-shared/tc1proj005/folds/llama_fold_0_lora + base /scratch-shared/tc1proj005/post_pretrain_llama3-8b_merged
[Step4][Info] Tokenizer source for llama fold 0: /scratch-shared/tc1proj005/folds/llama_fold_0_lora
[Step4][Progress] RespB fold batch 5608/11496 (1.33 ex/s) elapsed=70.4m
[Step4][Progress] RespB fold batch 6008/11496 (1.39 ex/s) elapsed=71.9m
[Step4][Progress] RespB fold batch 6408/11496 (1.45 ex/s) elapsed=73.6m
[Step4][Progress] RespB fold batch 6808/11496 (1.51 ex/s) elapsed=75.2m
[Step4][Progress] RespB fold batch 7208/11496 (1.56 ex/s) elapsed=76.9m
[Step4][Progress] RespB fold batch 7608/11496 (1.61 ex/s) elapsed=78.7m
[Step4][Progress] RespB fold batch 8008/11496 (1.66 ex/s) elapsed=80.3m
[Step4][Progress] RespB fold batch 8408/11496 (1.71 ex/s) elapsed=82.0m
[Step4][Progress] RespB fold batch 8808/11496 (1.76 ex/s) elapsed=83.6m
[Step4][Progress] RespB fold batch 9208/11496 (1.80 ex/s) elapsed=85.3m
[Step4][Progress] RespB fold batch 9608/11496 (1.84 ex/s) elapsed=86.8m
[Step4][Progress] RespB fold batch 10008/11496 (1.88 ex/s) elapsed=88.5m
[Step4][Progress] RespB fold batch 10408/11496 (1.92 ex/s) elapsed=90.2m
[Step4][Progress] RespB fold batch 10808/11496 (1.96 ex/s) elapsed=91.9m
[Step4][Progress] RespB fold batch 11208/11496 (2.00 ex/s) elapsed=93.6m
[Step4] Saved tensor -> model_save/teacher_logits/llama_fold_0_val_logprobs.pt shape=(11496, 3)
[Step4] Saved tensor -> model_save/teacher_logits/llama_fold_0_val_probs.pt shape=(11496, 3)
[Step4] Loaded data/fold_data/fold_1_train.csv rows=203656 cols=17
[Step4] Loaded data/fold_data/fold_1_val.csv rows=11496 cols=9
[Step4] Loading llama fold 1 from LoRA /scratch-shared/tc1proj005/folds/llama_fold_1_lora + base /scratch-shared/tc1proj005/post_pretrain_llama3-8b_merged
[Step4][Info] Tokenizer source for llama fold 1: /scratch-shared/tc1proj005/folds/llama_fold_1_lora
